kod,sirket_adi,yil,ilk_islem_tarihi,sermaye_artisi_yuzde,ortak_satisi_yuzde,bireysel_lot_basina_kisi,log_lot_basina_kisi,bireysel_kisi,halka_arz_fiyati,toplam_lot,halka_arz_buyuklugu_tl,log_buyukluk,esit_dagitim,hedef_acilis_serisi,hedef_en_az_3_gun,hedef_en_az_5_gun,en_uzun_seri_hesaplanan,toplam_tavan_gunu,ilk_gun_getiri_yuzde,ilk_gun_fiyat_guvenilir
MARBL,Tureks Turunç Madencilik İç ve Dış Tic. A.Ş.,2023,8 Kasım 2023,92.23,7.77,20.94,3.041661205442391,2810287.0,10.97,58976404.0,646971151.88,20.28781226395953,1,7,1,1,7,8,9.94,1
TABGD,Tab Gıda San. ve Tic. A.Ş.,2023,26 Ekim 2023,55.0,45.0,8.29,2.1150499691472033,4943543.0,130.0,52500000.0,6825000000.0,22.643858178017435,1,4,1,0,4,5,10.0,1
VRGYO,Vera Konsept Gayrimenkul Yatırım Ortaklığı A.Ş.,2023,27 Ekim 2023,100.0,0.0,9.93,2.295560478057081,3878174.0,15.78,55000000.0,867900000.0,20.581587058614474,1,4,1,0,4,8,9.95,1
MHRGY,Mhr Gayrimenkul Yatırım Ortaklığı A.Ş.,2023,18 Ekim 2023,100.0,0.0,63.14,4.145354483129846,3271977.0,4.3,207000000.0,890100000.0,20.60684437392916,1,6,1,1,6,6,10.0,1
BORLS,Borlease Otomotiv A.Ş.,2023,19 Ekim 2023,60.0,40.0,9.46,2.247072383063787,4222549.0,25.29,47000000.0,1188630000.0,20.896067220356205,1,5,1,1,5,6,10.0,1
DOFER,Dofer Yapı Malzemeleri San. ve Tic. A.Ş.,2023,16 Ekim 2023,89.8,10.2,5.18,1.6448050562713916,3274796.0,17.11,17000000.0,290870000.0,19.488386989924592,1,11,1,1,11,12,9.99,1
MEKAG,Meka Global Makine İmalat San. ve Tic. A.Ş.,2023,12 Ekim 2023,73.96,26.04,5.32,1.6714733033535532,3173433.0,25.0,16900000.0,422500000.0,19.861700004761502,1,12,1,1,12,15,10.0,1
DMRGD,Dmr Unlu Mamuller Üretim Gıda Toptan Perakende İhracat A.Ş.,2023,29 Eylül 2023,100.0,0.0,13.62,2.611539300721366,2973896.0,10.24,75000000.0,768000000.0,20.459300291111948,1,8,1,1,8,8,9.96,1
ADGYO,Adra Gayrimenkul Yatırım Ortaklığı A.Ş.,2023,20 Eylül 2023,100.0,0.0,,,,22.66,73700000.0,1670042000.0,21.236114612759426,1,5,1,1,5,7,9.97,1
HATSN,Hat-San Gemi İnşaa Bakım Onarım Deniz Nakliyat San. ve Tic. A.Ş.,2023,22 Eylül 2023,75.54,24.46,8.3,2.1162555148025524,3735310.0,22.6,44300000.0,1001180000.0000001,20.724445141293604,1,13,1,1,13,14,10.0,1
REEDR,Reeder Teknoloji San. ve Tic. A.Ş.,2023,21 Eylül 2023,79.07,20.93,43.43,3.7711504465467307,4208248.0,9.3,215000000.0,1999500000.0000002,21.41616298625115,1,10,1,1,10,10,10.0,1
GIPTA,Gıpta Ofis Kırtasiye ve Promosyon Ürünleri İmalat San. A.Ş.,2023,14 Eylül 2023,89.84,10.16,8.32,2.1186622548331173,3364768.0,20.9,40000000.0,836000000.0,20.544139171048975,1,6,1,1,6,9,9.95,1
TARKM,Tarkim Bitki Koruma San. ve Tic. A.Ş.,2023,12 Eylül 2023,100.0,0.0,,,,107.5,5000000.0,537500000.0,20.10243931796609,1,16,1,1,16,22,9.95,1
EBEBK,Ebebek Mağazacılık A.Ş.,2023,7 Eylül 2023,74.1,25.9,5.05,1.6193882432872684,3803496.0,46.5,40000000.0,1860000000.0,21.34384232467152,1,6,1,1,6,7,10.0,1
KZGYO,Kuzugrup Gayrimenkul Yatırım Ortaklığı A.Ş.,2023,29 Ağustos 2023,50.0,50.0,13.19,2.579458966729223,2085606.0,20.76,50000000.0,1038000000.0000001,20.76056162169011,1,9,1,1,9,10,9.92,1
BYDNR,Baydöner Restoranları A.Ş.,2023,21 Ağustos 2023,87.5,12.5,14.24,2.65605490598383,1262310.0,21.0,18000000.0,378000000.0,19.75040475358386,1,3,1,0,9,13,10.0,1
ENERY,Enerya Enerji A.Ş.,2023,23 Ağustos 2023,64.1,35.9,10.35,2.336986519711378,2636849.0,88.76,39000000.0,3461640000.0,21.965008302158314,1,10,1,1,10,12,9.96,1
TATEN,Tatlıpınar Enerji Üretim A.Ş.,2023,17 Ağustos 2023,62.5,37.5,22.01,3.0914968955383704,2233047.0,22.5,70200000.0,1579500000.0,21.180374178206414,1,14,1,1,14,15,9.96,1
OFSYM,Ofis Yem Gıda San. Tic. A.Ş.,2023,16 Ağustos 2023,86.21,13.79,15.97,2.770711962226921,1422620.0,27.2,22750000.0,618800000.0,20.243292676663184,1,15,1,1,15,16,10.0,1
IZENR,İzdemir Enerji Elektrik Üretim A.Ş.,2023,16 Ağustos 2023,65.16,34.84,34.77,3.5487549460197703,2648422.0,19.0,115100000.0,2186900000.0,21.50575085285855,1,14,1,1,14,16,10.0,1
ASGYO,Asce Gayrimenkul Yatırım Ortaklığı A.Ş.,2023,3 Ağustos 2023,60.0,40.0,100.0,4.605170185988092,1320026.0,12.6,165000000.0,2079000000.0,21.455152845822287,1,5,1,1,5,11,10.0,1
KLSER,"Kaleseramik, Çanakkale Kalebodur Seramik Sanayi A.Ş.",2023,27 Temmuz 2023,100.0,0.0,45.07,3.808216836702557,1917446.0,25.0,109390465.0,2734761625.0,21.72931011180074,1,11,1,1,11,19,10.0,1
FZLGY,Fuzul Gayrimenkul Yatırım Ortaklığı A.Ş.,2023,28 Temmuz 2023,69.52,30.48,49.29,3.8977212207172864,1326756.0,8.9,91860000.0,817554000.0,20.521827513600016,1,5,1,1,5,13,10.0,1
ATAKP,Atakey Patates Gıda San. ve Tic. A.Ş.,2023,27 Temmuz 2023,75.0,25.0,1.36,0.3074846997479607,1665366.0,39.5,28224000.0,1114848000.0,20.83198390969573,1,6,1,1,6,11,9.97,1
FORTE,Forte Bilgi İletişim Teknolojileri ve Savunma Sanayi A.Ş.,2023,14 Haziran 2023,100.0,0.0,33.32,3.506157817298642,659270.0,12.12,22000000.0,266639999.99999997,19.401409991963757,1,8,1,1,12,22,9.98,1
A1CAP,A1 Capital Yatırım Menkul Değerler A.Ş.,2023,15 Haziran 2023,100.0,0.0,36.7,3.6027767550605247,753367.0,25.0,35000000.0,875000000.0,20.589734444321888,1,3,1,0,3,6,10.0,1
PASEU,Pasifik Eurasia Lojistik Dış Ticaret A.Ş.,2023,14 Haziran 2023,77.14,22.86,26.82,3.2891478778535324,903134.0,25.0,34000000.0,850000000.0,20.560746907448635,1,4,1,0,4,12,10.0,1
KTLEV,Katılımevim Tasarruf Finansman A.Ş.,2023,12 Haziran 2023,55.56,44.44,71.76,4.27332721775054,473340.0,13.43,60000000.0,805800000.0,20.507346130721523,1,2,0,0,2,7,9.98,1
BIENY,Bien Yapı Ürünleri San. Turizm ve Tic. A.Ş.,2023,18 Mayıs 2023,83.33,16.67,36.48,3.5967641652061304,1445610.0,42.8,72326119.0,3095557893.2,21.853233983123086,1,0,0,0,0,0,0.37,1
KAYSE,Kayseri Şeker Fabrikası A.Ş.,2023,18 Mayıs 2023,100.0,0.0,58.37,4.0668020592157,1618666.0,16.27,106000000.0,1724620000.0,21.26827257330729,1,0,0,0,0,0,6.64,1
BIGCH,(BigChefs) Büyük Şefler Gıda Turizm Tekstil Danışmanlık Organizasyon Eğitim San. ve Tic. A.Ş.,2023,10 Mayıs 2023,25.93,74.07,16.77,2.8195915758351173,1800797.0,22.5,34000000.0,765000000.0,20.45538639179081,1,1,0,0,1,1,9.96,1
CWENE,Cw Enerji Mühendislik Tic. ve San. A.Ş.,2023,5 Mayıs 2023,75.0,25.0,,,,108.6,25000000.0,2715000000.0,21.72205779033231,1,2,0,0,2,3,9.94,1
GRTHO,Graınturk Holding A.Ş.,2023,26 Nisan 2023,100.0,0.0,,,,17.6,25000000.0,440000000.00000006,19.90228528487658,1,6,1,1,6,8,10.0,1
EUPWR,Europower Enerji ve Otomasyon Teknolojileri San. Tic. A.Ş.,2023,20 Nisan 2023,92.24,7.76,,,,40.6,50000000.0,2030000000.0,21.431301630000107,1,7,1,1,7,11,10.0,1
CVKMD,Cvk Maden İşletmeleri San. ve Tic. A.Ş.,2023,13 Nisan 2023,,,,,,105.0,8400000.0,882000000.0,20.597702613971066,1,5,1,1,5,7,10.0,1
KOPOL,Koza Polyester San. ve Tic. A.Ş.,2023,13 Nisan 2023,68.57,31.43,,,,24.5,44390000.0,1087555000.0,20.8071978943609,1,5,1,1,5,7,9.96,1
EKSUN,Eksun Gıda Tarım San. ve Tic. A.Ş.,2023,24 Mart 2023,100.0,0.0,,,,48.9,20042502.0,980078347.8,20.703143073168015,1,7,1,1,7,7,9.92,1
AKFYE,Akfen Yenilenebilir Enerji A.Ş.,2023,16 Mart 2023,,,,,,9.8,340370703.0,3335632889.4,21.927928270243616,0,8,1,1,8,9,10.0,1
GOKNR,Göknur Gıda Maddeleri Enerji İmalat İthalat İhracat Tic. ve San. A.Ş.,2023,9 Mart 2023,82.02,17.98,,,,11.0,79250000.0,871750000.0,20.586013243520036,1,8,1,1,8,10,10.0,1
BVSAN,Bülbüloğlu Vinç San. ve Tic. A.Ş.,2023,6 Şubat 2023,89.41,10.59,,,,31.0,11500000.0,356500000.0,19.691844797818625,0,4,1,0,4,11,10.0,1
MACKO,Maçkolik İnternet Hizmetleri Tic. A.Ş.,2023,26 Ocak 2023,,,,,,38.0,8500000.0,323000000.0,19.59316288118693,1,8,1,1,8,9,10.0,1
ASTOR,Astor Enerji A.Ş.,2023,18 Ocak 2023,84.57,15.43,,,,12.5,175000000.0,2187500000.0,21.506025176196044,0,9,1,1,9,14,10.0,1
TNZTP,Tapdi Oksijen Özel Sağlık ve Eğitim Hizmetleri San. Tic. A.Ş.,2023,11 Ocak 2023,100.0,0.0,,,,10.21,28000000.0,285880000.0,19.471082700316053,1,3,1,0,3,8,9.99,1
SOKE,Söke Değirmencilik San. ve Tic. A.Ş.,2023,12 Ocak 2023,100.0,0.0,,,,7.5,77500000.0,581250000.0,20.180691514865842,0,11,1,1,11,12,10.0,1
ARMGD,Armada Gıda Ticaret Sanayi A.Ş.,2024,3 Ocak 2025,98.36,1.64,75.68,4.326513924743623,436025.0,40.0,45830000.0,1833200000.0,21.329328910599244,1,0,0,0,0,0,0.05,1
SMRVA,Sümer Varlık Yönetim A.Ş.,2024,18 Aralık 2024,64.29,35.71,71.33,4.267316996289947,391702.0,22.0,28000000.0,616000000.0,20.238757521497792,1,1,0,0,1,2,10.0,1
CGCAM,Çağdaş Cam San. ve Tic. A.Ş.,2024,17 Aralık 2024,73.81,26.19,66.8,4.2017030805426,627457.0,20.0,42000000.0,840000000.0,20.548912449801634,1,3,1,0,3,10,10.0,1
BINBN,(binbin) Bin Ulaşım ve Akıllı Şehir Teknolojileri A.Ş.,2024,9 Ekim 2024,71.64,28.36,55.43,4.0151209634317135,277945.0,91.85,17000000.0,1561450000.0,21.168880713681624,1,0,0,0,1,1,0.16,1
DURKN,Durukan Şekerleme San. ve Tic. A.Ş.,2024,17 Eylül 2024,86.67,13.33,61.66,4.121635422458004,687689.0,17.0,42500000.0,722500000.0,20.39822797795086,1,3,1,0,3,5,10.0,1
CEMZY,Cem Zeytin A.Ş.,2024,9 Eylül 2024,100.0,0.0,137.19,4.921366826338073,437342.0,15.3,100000000.0,1530000000.0,21.148533572350754,1,3,1,0,3,3,10.0,1
OZATD,Özata Denizcilik San. ve Tic. A.Ş.,2024,5 Eylül 2024,85.02,14.98,10.79,2.378619779270043,618855.0,105.0,13350000.0,1401750000.0,21.060987292968058,1,5,1,1,5,6,10.0,1
AHSGY,Ahes Gayrimenkul Yatırım Ortaklığı A.Ş.,2024,29 Ağustos 2024,100.0,0.0,96.2,4.566429357671661,389798.0,25.2,50000000.0,1260000000.0,20.954377557909798,1,0,0,0,1,1,1.43,1
GUNDG,Gündoğdu Gıda Süt Ürünleri San. ve Dış Tic. A.Ş.,2024,22 Ağustos 2024,90.0,10.0,16.69,2.8148097376737438,597860.0,35.0,10000000.0,350000000.0,19.67344371244773,1,7,1,1,7,8,10.0,1
TCKRC,Kıraç Galvaniz Telekominikasyon Metal Makine İnşaat Elektrik San. ve Tic. A.Ş.,2024,21 Ağustos 2024,100.0,0.0,40.47,3.7005609588877744,667177.0,24.0,45000000.0,1080000000.0,20.80022687808254,1,3,1,0,3,5,10.0,1
BAHKM,Bahadır Kimya San. ve Tic. A.Ş.,2024,13 Ağustos 2024,62.5,37.5,21.41,3.0638581026015914,373692.0,51.0,16000000.0,816000000.0,20.51992491292838,1,5,1,1,5,7,10.0,1
DCTTR,Dct Trading Dış Ticaret A.Ş.,2024,31 Temmuz 2024,80.0,20.0,93.35,4.536355869987732,400126.0,14.0,37500000.0,525000000.0,20.0789088205559,1,6,1,1,6,8,10.0,1
SEGMN,Seğmen Kardeşler Gıda Üretim ve Ambalaj Sanayi A.Ş.,2024,4 Temmuz 2024,100.0,0.0,35.6,3.572345637857985,534481.0,30.0,35000000.0,1050000000.0,20.772056001115843,1,0,0,0,1,1,-9.33,1
EFOR,Efor Yatırım Sanayi Tic. A.Ş.,2024,5 Temmuz 2024,70.0,30.0,124.88,4.827353276207177,540512.0,14.5,90000000.0,1305000000.0,20.98946887772107,1,0,0,0,4,4,2.55,1
HOROZ,Horoz Lojistik Kargo Hizmetleri ve Tic. A.Ş.,2024,7 Haziran 2024,87.8,12.2,10.92,2.390595970316759,1689136.0,55.0,20500000.0,1127500000.0,20.843268629341107,1,0,0,0,1,1,-1.91,1
YIGIT,Yiğit Akü Malzemeleri Nakliyat Turizm İnşaat San. ve Tic. A.Ş.,2024,6 Haziran 2024,82.79,17.21,30.89,3.43043250693049,1917963.0,34.68,75000000.0,2601000000.0,21.679161823412926,1,0,0,0,3,3,1.38,1
ALKLC,Altınkılıç Gıda ve Süt San. Tic. A.Ş.,2024,4 Haziran 2024,100.0,0.0,26.31,3.269949095052201,1284727.0,22.98,33885000.0,778677300.0,20.47310726897296,1,3,1,0,3,3,9.92,1
OZYSR,Özyaşar Tel ve Galvanizleme San. A.Ş.,2024,29 Mayıs 2024,74.47,25.53,19.94,2.9927277645336923,1560945.0,28.0,26000000.0,728000000.0,20.40581160616096,1,3,1,0,3,3,10.0,1
ONRYT,Onur Yüksek Teknoloji A.Ş.,2024,28 Mayıs 2024,80.04,19.96,12.73,2.543961412569315,1534483.0,49.5,19730000.0,976635000.0,20.69962354757344,1,7,1,1,7,9,10.0,1
HRKET,Hareket Proje Taşımacılığı ve Yük Mühendisliği A.Ş.,2024,23 Mayıs 2024,85.84,14.16,9.08,2.206074192613202,1956272.0,70.0,24000000.0,1680000000.0,21.242059630361577,1,4,1,0,4,6,10.0,1
KOCMT,Koç Metalurji A.Ş.,2024,17 Mayıs 2024,84.0,16.0,33.22,3.503152104185149,2633984.0,20.5,125000000.0,2562500000.0,21.664249181410938,1,3,1,0,3,3,9.95,1
ALTNY,Altınay Savunma Teknolojileri A.Ş.,2024,16 Mayıs 2024,75.0,25.0,11.19,2.4150205223238337,3627803.0,32.0,58823530.0,1882352960.0,21.35578840568992,1,9,1,1,9,14,10.0,1
KOTON,Koton Mağazacılık Tekstil San. ve Tic. A.Ş.,2024,10 Mayıs 2024,26.58,73.42,33.25,3.5040547671018634,3471254.0,30.5,136600000.0,4166300000.0,22.15029418871433,1,1,0,0,1,1,9.97,1
LILAK,Lila Kağıt San. ve Tic. A.Ş.,2024,9 Mayıs 2024,94.57,5.43,24.04,3.179719109667007,3494553.0,37.39,120000000.0,4486800000.0,22.224405589735344,1,1,0,0,1,1,10.03,1
RGYAS,Rönesans Gayrimenkul Yatırım A.Ş.,2024,26 Nisan 2024,81.79,18.21,10.87,2.386006701133118,2454093.0,135.0,33357450.0,4503255750.0,22.22806647212273,1,1,0,0,1,1,10.0,1
ENTRA,Ic Enterra Yenilenebilir Enerji A.Ş.,2024,4 Nisan 2024,61.42,38.58,77.29,4.34756458111878,3586255.0,10.0,369565717.0,3695657170.0,22.030424229389016,1,5,1,1,5,5,10.0,1
ODINE,Odine Solutions Teknoloji Tic. ve San. A.Ş.,2024,21 Mart 2024,85.61,14.39,8.29,2.1150499691472033,3198260.0,30.0,44200000.0,1326000000.0,21.005432728710083,1,10,1,1,10,14,10.0,1
MOGAN,Mogan Enerji Yatırım Holding A.Ş.,2024,7 Mart 2024,88.89,11.11,59.99,4.094177881665002,3502171.0,11.33,262635000.0,2975654550.0,21.813729868550578,1,7,1,1,7,10,9.97,1
ARTMS,Artemis Halı A.Ş.,2024,4 Mart 2024,100.0,0.0,9.13,2.211565694606877,2185014.0,25.35,20000000.0,507000000.0,20.044021561555457,1,10,1,1,10,13,9.98,1
OBAMS,Oba Makarnacılık San. ve Tic. A.Ş.,2024,1 Mart 2024,85.71,14.29,13.93,2.6340447877917144,3388122.0,39.24,96336345.0,3780238177.8,22.05305285459286,1,5,1,1,5,6,9.99,1
ALVES,Alves Kablo San. ve Tic. A.Ş.,2024,29 Şubat 2024,100.0,0.0,11.15,2.411439497906128,2870401.0,19.45,40000000.0,778000000.0,20.472237082142666,1,12,1,1,12,17,9.92,1
LMKDC,Limak Doğu Anadolu Çimento San. ve Tic. A.Ş.,2024,22 Şubat 2024,83.37,16.63,33.65,3.5160130560907366,3243525.0,16.2,155930000.0,2526066000.0,21.649928988799406,1,7,1,1,7,9,33.09,0
BORSK,Bor Şeker A.Ş.,2024,15 Şubat 2024,72.73,27.27,15.92,2.767576180416237,2598451.0,26.54,70000000.0,1857800000.0,21.342658828917696,1,7,1,1,7,9,9.95,1
PATEK,Pasifik Teknoloji A.Ş.,2024,13 Şubat 2024,76.36,23.64,7.91,2.0681277817795625,2390045.0,35.0,27000000.0,945000000.0,20.666695485458018,1,15,1,1,15,18,10.0,1
ARFYE,Arf Bio Yenilenebilir Enerji Üretim A.Ş.,2025,5 Ocak 2026,75.53,24.47,46.24,3.833845224364122,508244.0,19.5,47000000.0,916500000.0,20.636072625244033,1,7,1,1,7,9,9.95,1
ZERGY,Zeray Gayrimenkul Yatırım Ortaklığı A.Ş.,2025,18 Aralık 2025,73.98,26.02,225.17,5.416855672471569,348179.0,13.0,156800000.0,2038400000.0,21.43543102334212,1,2,0,0,2,3,10.0,1
PAHOL,Pasifik Holding A.Ş.,2025,21 Kasım 2025,75.0,25.0,2463.93,7.8095129151589555,649369.0,1.5,4000000000.0,6000000000.0,22.515025306174465,1,2,0,0,2,3,10.0,1
VAKFA,Vakıf Faktoring A.Ş.,2025,20 Kasım 2025,31.68,68.32,197.3,5.2847254130285695,684223.0,14.2,225000000.0,3195000000.0,21.88485292477591,1,3,1,0,3,3,10.0,1
ECOGR,Ecogreen Enerji Holding A.Ş.,2025,3 Kasım 2025,100.0,0.0,91.99,4.521679875489066,478335.0,10.4,110000000.0,1144000000.0,20.857796729904017,1,11,1,1,11,12,10.0,1
DOFRB,Dof Robotik Sanayi A.Ş.,2025,11 Eylül 2025,71.43,28.57,52.87,3.9678360702473587,340447.0,45.0,45000000.0,2025000000.0,21.428835537504913,1,10,1,1,10,18,10.0,1
BULGS,Bulls Girişim Sermayesi Yatırım Ortaklığı A.Ş.,2025,21 Şubat 2025,93.79,6.21,233.15,5.45168202325433,171029.0,12.18,72500000.0,883050000.0,20.598892382106655,1,3,1,0,3,8,9.93,1
BALSU,Balsu Gıda San. ve Tic. A.Ş.,2025,20 Şubat 2025,40.29,59.71,840.79,6.73434192605719,200209.0,17.57,278000000.0,4884460000.0,22.309324573853917,1,0,0,0,1,2,-0.17,1
KLYPV,Kalyon Güneş Teknolojileri Üretim A.Ş.,2025,13 Şubat 2025,78.0,22.0,56.3,4.030694535145645,289776.0,70.3,46334639.0,3257325121.7,21.904172180702545,1,0,0,0,0,0,1.0,1
ENDAE,Enda Enerji Holding A.Ş.,2025,13 Şubat 2025,100.0,0.0,293.01,5.680206738127495,286905.0,17.44,91719684.0,1599591288.96,21.19301398916067,1,0,0,0,1,2,-6.25,1
VSNMD,Vişne Madencilik Üretim San. ve Tic. A.Ş.,2025,11 Şubat 2025,82.93,17.07,62.52,4.135486505553276,228291.0,37.44,24000000.0,898560000.0,20.616304039921612,1,3,1,0,11,17,9.99,1
DSTKF,Destek Finans Faktoring A.Ş.,2025,6 Şubat 2025,100.0,0.0,82.65,4.4146148242670336,125801.0,46.98,83333333.0,3914999984.3399997,22.088081162389177,1,5,1,1,5,11,9.94,1
BIGEN,Birleşim Grup Enerji Yatırımları A.Ş.,2025,5 Şubat 2025,80.0,20.0,245.05,5.501462271355557,188384.0,12.14,115500000.0,1402170000.0,21.061286873557474,1,1,0,0,2,4,9.97,1
SERNT,Seranit Granit Seramik San. ve Tic. A.Ş.,2025,4 Şubat 2025,85.7,14.3,265.1,5.5801071132949795,153011.0,12.0,150050000.0,1800600000.0,21.311385779638652,1,4,1,0,4,5,10.0,1
MOPAS,Mopaş Marketcilik Gıda San. ve Tic. A.Ş.,2025,29 Ocak 2025,93.68,6.32,93.66,4.539671203755396,235408.0,35.0,57330000.0,2006550000.0,21.41968266637398,1,1,0,0,1,3,10.0,1
AKFIS,Akfen İnşaat Turizm ve Ticaret A.Ş.,2025,23 Ocak 2025,70.0,30.0,85.01,4.442768896629268,260628.0,38.7,95487612.0,3695370584.4,22.030346679795194,1,0,0,0,0,0,-9.97,1
GLRMK,Gülermak Ağır Sanayi İnşaat ve Taahhüt A.Ş.,2025,17 Ocak 2025,77.41,22.59,26.04,3.2596338173403683,595287.0,125.0,32300000.0,4037500000.0,22.118891525495187,1,0,0,0,0,0,6.8,1
EGEGY,Egeyapı Avrupa Gayrimenkul Yatırım Ortaklığı A.Ş.,2025,14 Ocak 2025,68.95,31.05,105.48,4.658521361485086,348119.0,15.0,61200000.0,918000000.0,20.637707948584765,1,1,0,0,1,1,10.0,1
INTET,İntetra Teknoloji ve Bilişim Hizmetleri A.Ş.,2026,1 Eylül 2026,75.0,25.0,61.22,4.114473933517266,651837.0,53.6,40000000.0,2144000000.0,21.485939080154967,1,4,1,0,4,4,9.98,1
BKRGY,Bakırcı Gayrimenkul Yatırım Ortaklığı A.Ş.,2026,2 Eylül 2026,100.0,0.0,221.03,5.39829843891135,501344.0,12.93,167000000.0,2159310000.0,21.493054563164794,1,0,0,0,0,0,-9.98,1
VEYAS,Türker Vangölü Enerji Yatırım A.Ş.,2026,20 Ağustos 2026,57.69,42.31,42.6,3.751854253275325,364592.0,136.0,65000000.0,8840000000.0,22.902552713595963,1,0,0,0,1,2,-0.07,1
KPEKS,Kapeks Kimya Sanayi A.Ş.,2026,21 Ağustos 2026,100.0,0.0,24.24,3.1880041612011136,517764.0,94.0,25100000.0,2359400000.0,21.581673186372015,1,5,1,1,5,5,10.0,1
TKNKA,Teknika Plast Teknik Kalıp Plastik San. ve Tic. A.Ş.,2026,20 Ağustos 2026,80.65,19.35,25.19,3.226447090364519,492327.0,85.4,31000000.0,2647400000.0,21.696843863243945,1,6,1,1,6,11,20.84,0
QUICK,Quick Sigorta A.Ş.,2026,6 Ağustos 2026,100.0,0.0,49.77,3.9074123928704627,582468.0,76.6,48312950.0,3700771969.9999995,22.03180727537472,1,0,0,0,0,0,4.9,1
KARCL,Kardemir Çelik Sanayi A.Ş.,2026,31 Temmuz 2026,85.94,14.06,62.9,4.141546163706395,813950.0,35.0,128000000.0,4480000000.0,22.222888883373304,1,3,1,0,7,16,10.0,1
MASFN,Masfen Enerji A.Ş.,2026,30 Temmuz 2026,64.71,35.29,62.41,4.133725518945951,1089645.0,45.68,85000000.0,3882800000.0,22.079822379802344,1,0,0,0,0,0,-0.04,1
ALBTN,Albayrak Hazır Beton San. ve Tic. A.Ş.,2026,29 Temmuz 2026,87.5,12.5,120.62,4.792645108022841,547978.0,38.6,70000000.0,2702000000.0,21.71725807648442,1,0,0,0,2,4,-2.85,1
METEN,Metgün Enerji Yatırımları A.Ş.,2026,28 Temmuz 2026,66.81,33.19,84.65,4.438525108579144,960994.0,20.0,135579000.0,2711580000.0,21.72079732777475,1,2,0,0,2,6,10.0,1
SARAE,Şa-Ra Enerji İnşaat Tic. ve San. A.Ş.,2026,17 Temmuz 2026,55.56,44.44,46.4,3.8372994592322094,728823.0,70.0,89000000.0,6230000000.0,22.552642169745774,1,6,1,1,6,8,10.0,1
SSAAT,Saat ve Saat San. ve Tic. A.Ş.,2026,16 Temmuz 2026,60.0,40.0,57.96,4.059753117452481,693013.0,56.0,66944955.0,3748917480.0,22.044732963254948,1,0,0,0,1,1,-10.0,1
ISVEA,İsvea Seramik ve Banyo Ürünleri Sanayi A.Ş.,2026,10 Temmuz 2026,89.55,10.45,44.6,3.7977338590260183,901425.0,20.9,67000000.0,1400300000.0,21.059952336326006,1,2,0,0,6,19,20.86,0
