kod,talep_toplama_orani,sermaye_artisi_yuzde,ortak_satisi_yuzde,fon_kullanim_ozet,sektor,kaynaklar
SARAE,3.77x,50,50,"%55 işletme sermayesi güçlendirme, %30 finansal borç ödemesi, %15 yeni yatırım harcamaları","Enerji nakil/trafo altyapı ve çelik konstrüksiyon","paratic.com; halkarz.com; forbes.com.tr; kap.org.tr; getmidas.com"
ISVEA,~4x,89.55,10.45,"%20-30 makine-ekipman, %15-25 finansal borç azaltımı, %15-25 işletme sermayesi, %10-15 GES yatırımı, %10-15 kiralık makine-teçhizat","İnşaat malzemeleri / vitrifiye seramik-banyo ürünleri","corumhaber.net; halkarz.com; getmidas.com; borsatek.com; kap.org.tr"
SSAAT,BULUNAMADI (bireysel 1.78x / kurumsal 1.22x ayrı ayrı var),60,40,"%60 sermaye artırımı taze kaynak, %40 mevcut ortak hisse satışı (fon kullanım detayı bulunamadı)","Saat ve aksesuar perakende/dağıtımı","ekonomist.com.tr; kapsulhaberajansi.com; infoyatirim.com; getmidas.com; garantibbvayatirim.com.tr"
VEYAS,0.68x,84.5,15.5,"%60-70 VEDAŞ yatırım harcamaları, %30-40 işletme sermayesi","Elektrik dağıtımı ve perakende satışı (enerji)","halkarz.com; borsagundem.com.tr; endeks24.com; borsatek.com; bloomberght.com; getmidas.com"
EKIM,1.59x,81.5,18.5,"Kiralık araç filosu satın alımı, kredi borçlarının ödenmesi, işletme sermayesi","Operasyonel filo kiralama / araç kiralama","getmidas.com; bloomberght.com; finansopia.com; akyatirim.com.tr; endeks24.com; ekovitrin.com"
ORZAX,4.6x,60,40,"Kapasite yatırımları, ihracat ağının genişletilmesi, işletme sermayesi","İlaç, kimya ve takviye edici gıda","finansopia.com; halkarz.com; getmidas.com; infoyatirim.com; kap.org.tr; yf.com.tr"
SOHOE,1.23x,100,0,"%30 mağaza yatırımı, %10 marka/reklam, %40 tasarım/ürün geliştirme, %20 finansal borç azaltımı","Hazır giyim ve yenilenebilir enerji","infoyatirim.com; getmidas.com; ekovitrin.com; yatirimx.com.tr; gedik.com"
GOLDA,2.2x,57.1,42.9,"%50-60 kapasite artırımı/modernizasyon yatırımları, %40-50 işletme sermayesi güçlendirme","Gıda (makarna, un, irmik, bakliyat, bisküvi)","endeks24.com; uzmanpara.milliyet.com.tr; getmidas.com; dunya.com; capital.com.tr; halkarz.com"
BETAE,~14x,90.5,9.5,"Adana OSB yeni teknoloji kampüsü yatırımı, mevcut kredilerin kapatılması, hammadde işletme sermayesi","Transformatör ve şalt malzemeleri üretimi (enerji ekipmanları)","capital.com.tr; bloomberght.com; halkarz.com; oyakyatirim.com.tr; kap.org.tr"
EKDMR,8.29x,76.92,23.08,"Eskişehir/Şanlıurfa GES yatırımları, hurda işleme tesisi, kütük ısıtma sistemi, modernizasyon, işletme sermayesi","Demir-çelik / metal üretim","investing.com; halkarz.com; uzmanpara.milliyet.com.tr; kap.org.tr; getmidas.com"
MCARD,7.4x,66.7,33.3,"İşletme sermayesi finansmanı, yurt içi/yurt dışı fintek şirketlerine yatırım ve ortaklıklar","Fintek / kurumsal ön ödemeli kart hizmetleri","garantibbvayatirim.com.tr; forbes.com.tr; capital.com.tr; ahlatciyatirim.com.tr; halkarz.com"
LXGYO,7.10x,75,25,"%85-100 İstanbul'da devam eden/yeni konut ve ticari gayrimenkul projeleri, %0-15 işletme sermayesi","Gayrimenkul yatırım ortaklığı (konut/ticari GYO)","aa.com.tr; paraanaliz.com; finansopia.com; gedik.com; getmidas.com; yf.com.tr"
ATATR,5.7x,85.7,14.3,"Kiracı olunan taşınmazların satın alınarak kira giderlerinin azaltılması ve varlık güçlendirme","Turizm odaklı gayrimenkul yatırımı ve konaklama işletmeciliği","paratic.com; capital.com.tr; fintables.com; marbas.com.tr; gedik.com; ahlatciyatirim.com.tr"
AAGYO,3.6x,60,40,"%70 yeni gayrimenkul/gelir getirici proje yatırımı, %30 finansal borç ödemesi, kalan işletme sermayesi","Gayrimenkul yatırım ortaklığı (GYO)","infoyatirim.com; bolgeninsesigazetesi.com; forbes.com.tr; gedik.com; borsagundem.com.tr [ŞİRKET ADI DÜZELTİLDİ: Ağaoğlu Avrasya GYO, Atakey değil]"
EMPAE,9.3x,76.3,23.7,"Yeni teknoloji alanlarında yatırım, bölgesel satış-pazarlama/lojistik ağı, işletme sermayesi, finansal borç ödemesi","Elektronik komponent tedariki / teknoloji çözümleri (yarı iletken, güç elektroniği, elektromekanik)","uzmanpara.milliyet.com.tr; investing.com; bloomberght.com; haberturk.com; gedik.com; halkarz.com"
GENKM,1.4x,67.3,32.7,"BULUNAMADI (KAP'ta fon kullanım raporu var ama içeriği doğrulanamadı)","Kimya (formaldehit, reçine, akrilik levha üretimi)","getmidas.com; gedik.com; platinonline.com; capital.com.tr; kap.org.tr [ŞİRKET ADI DÜZELTİLDİ: Gentaş Kimya, Genkom değil]"
SVGYO,7.33x,70.5,29.5,"%75'e kadar yeni gayrimenkul yatırımı (ağırlıklı Kandilli Projesi %40), %0-15 işletme sermayesi","Gayrimenkul Yatırım Ortaklığı (turizm/otel ağırlıklı, 4 otel + 2 arsa)","paratic.com; hisse.net; t24.com.tr; kulisborsa.com; kap.org.tr; halkarz.com [ŞİRKET ADI DÜZELTİLDİ: Savur GYO, SVG değil]"
AKHAN,BULUNAMADI (bireysel ~2.80x / kurumsal ~8.90x ayrı ayrı var),100,0,"İşletme sermayesi, finansal borç kapatma, makarna fabrikası leasing ödemeleri","Un/gıda üretimi (tarım ürünleri gıda sanayi)","getmidas.com; nobetcigazete.com; bloomberght.com; capital.com.tr; borsa.doviz.com"
NETCD,5.6x,30,70,"%75-85 Ar-Ge yatırımları ve işletme sermayesi, %5-10 pazar faaliyetleri, kalan büyüme yatırımları","Yazılım / Bilgi Teknolojileri (CAD ve CBS yazılımları)","rotaborsa.com; haberturk.com; yatirimx.com.tr; halkarz.com; finansopia.com; gedik.com [ŞİRKET ADI DÜZELTİLDİ: Netcad Yazılım, Net Holding değil]"
UCAYM,14.6x,83.3,16.7,"%25-50 GES kurulumu, %10-15 şube ağı genişletme, %20-40 operasyonel/sürdürülebilirlik, %5-10 EV şarj istasyonu ağı","Enerji ve iklimlendirme mühendisliği (HVAC, GES, EV şarj istasyonu işletmeciliği)","milliyet.com.tr; bigpara.hurriyet.com.tr; halkarz.com; gazetebirlik.com; kap.org.tr"
FRMPL,7.7x,75,25,"Arsa ve fabrika inşaatı (~202M TL), işletme sermayesi güçlendirme (~302M TL)","Plastik boru/ek parça (PP-R, PVC, PE-RT) ve pirinç/metal bağlantı parçaları","paratic.com; bigpara.hurriyet.com.tr; milliyet.com.tr; gedik.com"
MEYSU,8.5x,68.6,31.4,"İşletme sermayesi ağırlıklı (kullanılan fonun %93,46'sı işletme sermayesi)","Gıda - meyve suyu/nektar/konsantre ve alkolsüz içecek üretimi","bigpara.hurriyet.com.tr; borsamatik.com.tr; ekonomigazetesi.com; kap.org.tr; meysu.com.tr"
ARFYE,~4x,75.5,24.5,"Hammadde (organik atık/girdi) temini ve işletme sermayesi finansmanı","Yenilenebilir enerji (biyogaz/biyokütle elektrik üretimi)","ahlatciyatirim.com.tr; infoyatirim.com; bigpara.hurriyet.com.tr; halkarz.com; gedik.com"
BESTE,2.1x,70,30,"[İzahname planı — orijinal] Yurt içi/dışı yeni GES/RES santrali kurulumu/satın alımı (not: IPO sonrası Nisan 2026'da araç muayene istasyonu yatırımına revize edildi, bu revizyon halka arz ÖNCESİ bilinmiyordu)","Yenilenebilir enerji (GES/RES) yatırımı","getmidas.com; borsagundem.com.tr; ekonomist.com.tr; tacirler.com.tr; fintables.com; rotaborsa.com"
ZERGY,1.96x,74,26,"Yüklenici hakediş ödemeleri, yeni proje finansmanı, finansal borç ödemesi, işletme sermayesi (kesin yüzde dağılımı çelişkili, bulunamadı)","Gayrimenkul Yatırım Ortaklığı (GYO) - inşaat/kiralama/işletme","dunya.com; yatirimx.com.tr; haberturk.com; halkyatirim.com.tr; bigpara.hurriyet.com.tr"
PAHOL,2.62x,50,50,"%80 teknoloji/lojistik/gayrimenkul/enerji yeni yatırımları, %10 işletme sermayesi","Holding - çok sektörlü (gayrimenkul, lojistik, teknoloji, enerji, madencilik)","hisse.net; cnnturk.com; pasifik.com; rotaborsa.com; kap.org.tr"
VAKFA,5.17x,22.22,77.78,"Özkaynak/pasif havuzu güçlendirme ve müşteri faktoring finansmanı","Faktoring / Finansal Hizmetler","gazetebirlik.com; halkarz.com; milliyet.com.tr; garantibbvayatirim.com.tr; gedik.com"
DOFRB,3.13x,66.7,33.3,"%40-50 işletme sermayesi, kalan üretim/ofis genişletme, Ar-Ge, pazarlama-satış, makine-teçhizat, GES yatırımı, girişim sermayesi","Simülasyon teknolojileri / hareket simülatörleri, VR-AR, robotik (eğlence, eğitim, savunma)","paratic.com; halkaarz.net; rotaborsa.com; dofrobotics.com; kap.org.tr"
ECOGR,8.94x,20.37 (halka açıklık oranı - sermaye artışı yüzdesi net verilmemiş),0,"Yatırım finansmanı, kredi ödemesi, işletme sermayesi","Yenilenebilir enerji (güneş/biyogaz/biyokütle, ~180MW kurulu güç)","dunya.com; forbes.com.tr; capital.com.tr; gedik.com; getmidas.com; halkarz.com"
ZGYO,~2.94x,50,50,"%20-30 gayrimenkul proje geliştirme, %25-35 Lagun Diplomatik Site projesi, %25-35 finansal yükümlülük ödemesi, %10-20 işletme sermayesi","Gayrimenkul Yatırım Ortaklığı (GYO) - geliştirme/portföy yönetimi","ahlatciyatirim.com.tr; oyakyatirim.com.tr; fintables.com; investing.com; dunya.com; halkarz.com"
BULGS,2.86x,93.79,6.21,"Savunma sanayii ve diğer sektörlerde girişim sermayesi yatırımı, işletme sermayesi","Girişim sermayesi yatırım ortaklığı (finans)","aa.com.tr; getmidas.com; ahlatciyatirim.com.tr; investing.com; kap.org.tr"
KLYPV,1.42x,78,22,"%25 yatırım harcamaları, %45 işletme sermayesi, %30 kredi geri ödemesi","Güneş enerjisi / fotovoltaik panel üretimi (dikey entegre, 2GW kapasite)","paratic.com; haberturk.com; halkarz.com; unlumenkul.com"
ENDAE,BULUNAMADI,100 (halka açıklık oranı ~22.4),0,"%100 işletme sermayesi ihtiyacı","Yenilenebilir enerji üretimi (4 HES, 5 RES, 1 jeotermal, ~180MW)","halkarz.com; arzdetay.com; ahlatciyatirim.com.tr; borsa.doviz.com; halkaarztakvimi.com.tr"
EGEGY,"~1.7-1.8x (tahmini ağırlıklı ortalama; grup bazında: bireysel ~1.23x, yüksek başvurulu ~6.72x, kurumsal ~1.15x)",69,31,"%45 Modernyaka projesi, %40 Kekliktepe projesi, %10 diğer projeler, %5 pazarlama/idari giderler","Gayrimenkul geliştirme / GYO (konut, ticari, kurumsal proje geliştirme)","halkarz.com; isyatirim.com.tr"
GLRMK,3.20x,58,42,"%45-50 makine-ekipman alımı, %30-35 KÖİ projesi işletme sermayesi, %20-25 finansman maliyeti azaltımı","İnşaat / Ağır Sanayi İnşaat ve Taahhüt (metro, tünel, KÖİ projeleri)","halkarz.com"
BALSU,"BULUNAMADI (tam dağıtım oldu, oversubscription çarpanı raporlanmamış)",40,60,"%40 devam eden/yeni yatırımlar, %30 işletme sermayesi, %30 banka kredisi ödemesi","Fındık işleme ve gıda sanayi","halkarz.com; getmidas.com"
DSTKF,BULUNAMADI,25 (halka açıklık oranı),0,"%100 faktoring işlemlerinin finansmanı","Finans / Faktoring","halkarz.com"
VSNMD,BULUNAMADI (bireysel tahsisat %59.47),70.83,29.17,"%40-45 Çelemli fabrikası hammadde hazırlama tesisi, %20-25 kredi kapatma, kalan işletme sermayesi","Madencilik / İnşaat malzemeleri (kireçtaşı çıkarımı, sönmüş kireç üretimi)","halkarz.com; stockanalysis.com"
MOPAS,BULUNAMADI,75,25,"%40-45 yeni mağaza yatırımları, %15-20 güneş enerjisi, %15 tarımsal yatırım, %15 işletme sermayesi, %10 e-ticaret/teknoloji","Perakende gıda ticareti (süpermarket zinciri)","halkarz.com; isyatirim.com.tr; tradingview.com"
SERNT,BULUNAMADI,85.7,14.3,"%55 finansal borç ödemesi, %30 işletme sermayesi, %15 satış-pazarlama/dijitalleşme","Seramik ve granit üretimi (yer/duvar seramiği, karo, porselen, vitrifiye)","halkarz.com; isyatirim.com.tr"
AKFIS,BULUNAMADI,100 (planlanan %70 sermaye artışı + %30 ortak satışıydı ama ortak satışı iptal edilip tamamı sermaye artışına döndü),0,"%35-45 borç azaltımı, %55-65 yatırım finansmanı, %15'e kadar işletme sermayesi","İnşaat/taahhüt ve altyapı (havalimanı, hastane, okul, enerji, su-atıksu-çevre projeleri)","haber7.com; t24.com.tr; isyatirim.com.tr"
BIGEN,BULUNAMADI (bireysel talepler tam karşılandı - oranlı dağıtım yok),66.67,33.33,"%35-45 mali yapı güçlendirme/maliyet azaltma, %20-25 inorganik büyüme, %15-25 kapasite artırımı, %5-15 yenileme, %5-15 işletme sermayesi","Yenilenebilir enerji (güneş enerjisi ağırlıklı elektrik üretimi)","getmidas.com; habertürk; bigpara; dunya.com"
